division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
flyweight,http://boxrec.com/boxer/15550,2001-02-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Flyweight"" border=""0"" class=""dLink"">International Boxing Organization World flyweight title</a><br><span style=""font-size:10px;"">Kelly was stripped of the title on 11/21/2001 for failing to defend the title within a specified timeframe.</span></td>",http://boxrec.com/show/45134,http://boxrec.com/boxer/14847,UD,"York Hall, Bethnal Green, London",Damaen Kelly,Paulino Villalobos,W
cruiserweight,http://boxrec.com/boxer/571,2001-02-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Cruiserweight"" border=""0"" class=""dLink"">International Boxing Organization World cruiserweight title</a><br></td>",http://boxrec.com/show/42926,http://boxrec.com/boxer/1259,TKO,"Bowlers Exhibition Centre, Manchester, Lancashire",Carl Thompson,Uriah Grant,W
middleweight,http://boxrec.com/boxer/14452,2001-01-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br></td>",http://boxrec.com/show/41967,http://boxrec.com/boxer/18800,MD,"Jaap Edenhal, Amsterdam",Raymond Joval,Sam Soliman,W
featherweight,http://boxrec.com/boxer/1909,2000-12-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Featherweight"" border=""0"" class=""dLink"">IBF World featherweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Featherweight"" border=""0"" class=""dLink"">International Boxing Organization World featherweight title</a><br><span style=""font-size:10px;"">Ingle, down in the 11th round and again in the 12th remained on the canvas for several minutes before being carried from the ring on a stretcher. He subsequently underwent surgery for a bleed.</span></td>",http://boxrec.com/show/31281,http://boxrec.com/boxer/5650,TKO,"Sheffield Arena, Sheffield, Yorkshire",Paul Ingle,Mbulelo Botile,L 
welterweight,http://boxrec.com/boxer/9336,2000-12-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Welterweight"" border=""0"" class=""dLink"">International Boxing Organization World welterweight title</a><br></td>",http://boxrec.com/show/28117,http://boxrec.com/boxer/4902,PTS,"York Hall, Bethnal Green, London",Willy Wise,Darren Bruce,W
heavyweight,http://boxrec.com/boxer/4343,2000-11-11,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Heavyweight"" border=""0"" class=""dLink"">International Boxing Organization World heavyweight title</a><br></td>",http://boxrec.com/show/25537,http://boxrec.com/boxer/1853,UD,"Mandalay Bay Resort & Casino, Las Vegas, Nevada",Lennox Lewis,David Tua,W
super welterweight,http://boxrec.com/boxer/8926,2000-11-11,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World super welterweight title</a><br></td>",http://boxrec.com/show/25539,http://boxrec.com/boxer/14696,TKO,"Waterfront Hall, Belfast, Northern Ireland",Adrian Stone,Derek Roche,W
super featherweight,http://boxrec.com/boxer/9145,2000-10-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Super%20Featherweight"" border=""0"" class=""dLink"">International Boxing Organization World super featherweight title</a><br></td>",http://boxrec.com/show/24194,http://boxrec.com/boxer/6036,KO,"Skydome, Coventry, West Midlands",Affif Djelti,Dean Pithie,W
middleweight,http://boxrec.com/boxer/4013,2000-09-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br></td>",http://boxrec.com/show/21617,http://boxrec.com/boxer/18800,MD,"Sportcomplex De Wilgenring, Rotterdam",Raymond Joval,Mpush Makambi,W
flyweight,http://boxrec.com/boxer/3785,2000-09-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Flyweight"" border=""0"" class=""dLink"">International Boxing Organization World flyweight title</a><br></td>",http://boxrec.com/show/21616,http://boxrec.com/boxer/14847,MD,"Bushfield Leisure Centre, Peterborough, Cambridgeshire",Damaen Kelly,Zolile Mbityi,W
