division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
bantamweight,http://boxrec.com/boxer/3192,1991-05-04,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Bantamweight"" border=""0"" class=""dLink"">IBF World bantamweight title</a><br><span style=""font-size:10px;"">Hardy down in round three.</span></td>",http://boxrec.com/show/3776,http://boxrec.com/boxer/507,TKO,"Civic Center Arena, Laredo, Texas",Orlando Canizales,Billy Hardy,W
light heavyweight,http://boxrec.com/boxer/637,1991-04-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Heavyweight"" border=""0"" class=""dLink"">IBF World light heavyweight title</a><br><span style=""font-size:10px;"">Kinchen down in rd 1</span></td>",http://boxrec.com/show/3759,http://boxrec.com/boxer/340,TKO,"Caesars Hotel & Casino, Atlantic City, New Jersey",Charles Williams,James Kinchen,W
heavyweight,http://boxrec.com/boxer/90,1991-04-19,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Heavyweight"" border=""0"" class=""dLink"">WBA World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br></td>",http://boxrec.com/show/3757,http://boxrec.com/boxer/499,UD,"Convention Center, Atlantic City, New Jersey",Evander Holyfield,George Foreman,W
welterweight,http://boxrec.com/boxer/769,1991-03-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Welterweight"" border=""0"" class=""dLink"">WBC World welterweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Welterweight"" border=""0"" class=""dLink"">IBF World welterweight title</a><br></td>",http://boxrec.com/show/3701,http://boxrec.com/boxer/982,TKO,"Mirage Hotel & Casino, Las Vegas, Nevada",Simon Brown,Maurice Blocker,W
super lightweight,http://boxrec.com/boxer/8158,1991-03-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Light%20Welterweight"" border=""0"" class=""dLink"">IBF World super lightweight title</a><br></td>",http://boxrec.com/show/3701,http://boxrec.com/boxer/8119,TKO,"Mirage Hotel & Casino, Las Vegas, Nevada",Julio Cesar Chavez,John Duplessis,W
light flyweight,http://boxrec.com/boxer/1254,1991-03-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Flyweight"" border=""0"" class=""dLink"">IBF World light flyweight title</a><br></td>",http://boxrec.com/show/3699,http://boxrec.com/boxer/1623,UD,"Bally's Las Vegas, Las Vegas, Nevada",Michael Carbajal,Javier Varguez,W
super welterweight,http://boxrec.com/boxer/1961,1991-03-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Middleweight"" border=""0"" class=""dLink"">IBF World super welterweight title</a><br></td>",http://boxrec.com/show/3696,http://boxrec.com/boxer/414,UD,"Palasport, Saint-Vincent, Valle d'Aosta",Gianfranco Rosi,Ron Amundsen,W
super featherweight,http://boxrec.com/boxer/3842,1991-03-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBA World super featherweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Super%20Featherweight"" border=""0"" class=""dLink"">IBF World super featherweight title</a><br></td>",http://boxrec.com/show/3694,http://boxrec.com/boxer/509,PTS,"Arco Arena, Sacramento, California",Tony Lopez,Brian Mitchell,D
super middleweight,http://boxrec.com/boxer/3196,1991-03-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Middleweight"" border=""0"" class=""dLink"">IBF World super middleweight title</a><br></td>",http://boxrec.com/show/3684,http://boxrec.com/boxer/6217,SD,"Palacio de los Deportes, Madrid, Comunidad de Madrid",Antoine Byrd,Lindell Holmes,L 
super bantamweight,http://boxrec.com/boxer/8616,1991-02-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Bantamweight"" border=""0"" class=""dLink"">IBF World super bantamweight title</a><br></td>",http://boxrec.com/show/156635,http://boxrec.com/boxer/659,SD,"Casinò, Saint-Vincent, Valle d'Aosta",Welcome Ncita,Sugar Baby Rojas,W
