boxerid,boxername,alias,birth name,birth place,born,bouts,date.of.death,age.of.death,debut,division,global ID,height.imp,height.cm,KOs,manager/agent,promoter,ranking,reach.in,reach.cm,residence,role,rounds,stance,titles held,US ID,VADA CBP,KO.percent,boxerid.num
http://boxrec.com/boxer/4768,Ivan Robinson,Mighty,NA,"Philadelphia, Pennsylvania, USA",1971-02-27,46,NA,NA,1992-10-20,lightweight,4768,5.75,175,26%,NA,NA,NA,70,178,"Philadelphia, Pennsylvania, USA",Boxer,341,orthodox,NA,027772,NA,0.26,4768
http://boxrec.com/boxer/4773,Ray Minus,NA,NA,"Nassau, Bahamas",1964-07-03,48,NA,NA,1982-06-18,super bantamweight,4773,5.5,168,56%,NA,NA,NA,63.5,161,"Nassau, Bahamas",Boxer,324,orthodox,NA,NA,NA,0.56,4773
http://boxrec.com/boxer/477311,Jorle Estrada,NA,Jorle Jacinto Estrada Villadiego,"San Pelayo, Colombia",1989-04-03,26,NA,NA,2008-11-15,minimumweight,477311,5.25,160,27%,NA,NA,NA,NA,NA,"San Pelayo, Colombia",Boxer,135,orthodox,NA,NA,NA,0.27,477311
http://boxrec.com/boxer/4780,Joey Gamache,NA,NA,"Bath, Maine, USA",1966-05-20,59,NA,NA,1987-05-01,super featherweight,4780,5.5,168,64%,NA,NA,NA,64,163,"Lewiston, Maine, USA",Boxer,352,orthodox,NA,017105,NA,0.64,4780
http://boxrec.com/boxer/4787,Lamar Parks,Kidfire,NA,NA,1970-03-17,28,NA,NA,1988-10-04,middleweight,4787,5.625,171,75%,NA,NA,NA,NA,NA,"Greenville, South Carolina, USA",Boxer,147,NA,NA,NA,NA,0.75,4787
http://boxrec.com/boxer/478976,Pawel Glazewski,NA,NA,"Bialystok, Poland",1982-10-01,28,NA,NA,2008-12-14,light heavyweight,478976,5.875,179,18%,NA,NA,NA,NA,NA,"Bialystok, Poland",Boxer,181,orthodox,NA,NA,NA,0.18,478976
http://boxrec.com/boxer/479,Virgil Hill,Quicksilver,Virgil Eugene Hill,"Clinton, Missouri, USA",1964-01-18,58,NA,NA,1984-11-15,light heavyweight,479,6.041666666666667,184,41%,NA,NA,NA,77,196,"Williston, North Dakota, USA",Boxer,462,orthodox,NA,010932,NA,0.41,479
http://boxrec.com/boxer/4790,Stephane Haccoun,NA,NA,"Paris, France",1967-08-31,40,NA,NA,1989-11-25,featherweight,4790,5.458333333333333,166,55%,NA,NA,NA,NA,NA,"Paris, France",Boxer,217,southpaw,NA,NA,NA,0.55,4790
http://boxrec.com/boxer/4792,Crisanto Espana,Claws,NA,"Ciudad Bolivar, Venezuela",1964-10-25,32,NA,NA,1984-03-30,welterweight,4792,5.833333333333333,178,78%,NA,NA,NA,NA,NA,"Belfast, Northern Ireland, United Kingdom",Boxer,144,southpaw,NA,NA,NA,0.78,4792
http://boxrec.com/boxer/479205,Tyson Fury,NA,Tyson Luke Fury,"Manchester, Lancashire, United Kingdom",1988-08-12,25,NA,NA,2008-12-06,heavyweight,479205,6.75,206,72%,NA,NA,NA,85,216,"Wilmslow, Cheshire, United Kingdom",Boxer,146,orthodox,NA,070839,NA,0.72,479205
