division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
super lightweight,http://boxrec.com/boxer/1514,1998-10-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBA World super lightweight title</a><br></td>",http://boxrec.com/show/8461,http://boxrec.com/boxer/1382,UD,"Palais Omnisport de Paris-Bercy, Paris, Paris",Sharmba Mitchell,Khalid Rahilou,W
welterweight,http://boxrec.com/boxer/7728,1998-10-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Welterweight"" border=""0"" class=""dLink"">vacant WBA World welterweight title</a><br><span style=""font-size:10px;"">~ Pestriaev down in Rounds 1 and 2 ~</span></td>",http://boxrec.com/show/8461,http://boxrec.com/boxer/3728,KO,"Palais Omnisport de Paris-Bercy, Paris, Paris",James Page,Andrey Pestryaev,W
flyweight,http://boxrec.com/boxer/3257,1998-10-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Flyweight"" border=""0"" class=""dLink"">interim WBA World flyweight title</a><br></td>",http://boxrec.com/show/8451,http://boxrec.com/boxer/4191,UD,Caracas,Mauricio Pastrana,Jose Bonilla,W
featherweight,http://boxrec.com/boxer/7452,1998-10-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">vacant WBA World featherweight title</a><br></td>",http://boxrec.com/show/8451,http://boxrec.com/boxer/3519,KO,Caracas,Antonio Cermeno,Genaro Rios,W
super bantamweight,http://boxrec.com/boxer/6948,1998-10-03,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Bantamweight"" border=""0"" class=""dLink"">interim WBA World super bantamweight title</a><br></td>",http://boxrec.com/show/8451,http://boxrec.com/boxer/1644,UD,Caracas,Hector Acero-Sanchez,Carlos Barreto,L 
featherweight,http://boxrec.com/boxer/7285,1998-09-22,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">vacant WBA World featherweight title</a><br><span style=""font-size:10px;"">Norwood does not make the 126lb weight and is stripped of the WBA Featherweight title.</span></td>",http://boxrec.com/show/8434,http://boxrec.com/boxer/1943,TKO,"Yoyogi #2 Gymnasium, Tokyo",Freddie Norwood,Koji Matsumoto,W
heavyweight,http://boxrec.com/boxer/499,1998-09-19,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Heavyweight"" border=""0"" class=""dLink"">WBA World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br><span style=""font-size:10px;"">Bean down in 10th.</span></td>",http://boxrec.com/show/8430,http://boxrec.com/boxer/4777,UD,"Georgia Dome, Atlanta, Georgia",Vaughn Bean,Evander Holyfield,L 
super featherweight,http://boxrec.com/boxer/3640,1998-09-05,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBA World super featherweight title</a><br><span style=""font-size:10px;"">Choi lost a point in the 11th for repeated low blows.</span></td>",http://boxrec.com/show/8416,http://boxrec.com/boxer/5188,MD,"Kokugikan, Tokyo",Takanori Hatakeyama,Yong Soo Choi,W
middleweight,http://boxrec.com/boxer/80,1998-08-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Middleweight"" border=""0"" class=""dLink"">WBA World middleweight title</a><br></td>",http://boxrec.com/show/8400,http://boxrec.com/boxer/4995,TKO,"Las Vegas Hilton, Las Vegas, Nevada",William Joppy,Roberto Duran,W
super flyweight,http://boxrec.com/boxer/6053,1998-07-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBA World super flyweight title</a><br></td>",http://boxrec.com/show/8362,http://boxrec.com/boxer/3868,UD,"Rainbow Hall, Nagoya, Aichi",Satoshi Iida,Julio Gamboa,W
light heavyweight,http://boxrec.com/boxer/8208,1998-07-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br><a href=""http://boxrec.com/title/WBA?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBA World light heavyweight title</a><br></td>",http://boxrec.com/show/8353,http://boxrec.com/boxer/774820,UD,"Madison Square Garden Theater, New York, New York",Roy Jones Jr,Lou Del Valle,W
featherweight,http://boxrec.com/boxer/5016,1998-07-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">WBA World featherweight title</a><br></td>",http://boxrec.com/show/8346,http://boxrec.com/boxer/1943,UD,"Miccosukee Indian Gaming Resort, Miami, Florida",Freddie Norwood,Luis Mendoza,W
