division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
lightweight,http://boxrec.com/boxer/9526,1980-06-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Lightweight"" border=""0"" class=""dLink"">WBC World lightweight title</a><br></td>",http://boxrec.com/show/22410,http://boxrec.com/boxer/554,UD,"Ibrox Park, Glasgow, Scotland",Howard Davis Jr,Jim Watt,L 
light flyweight,http://boxrec.com/boxer/52610,1980-06-07,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBC World light flyweight title</a><br></td>",http://boxrec.com/show/79512,http://boxrec.com/boxer/30654,UD,"Munhwa Gymnasium, Seoul",Hilario Zapata,Chi-Bok Kim,W
flyweight,http://boxrec.com/boxer/10055,1980-05-18,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br></td>",http://boxrec.com/show/73777,http://boxrec.com/boxer/10047,KO,"Changchung Gymnasium, Seoul",Shoji Oguma,Chan-Hee Park,W
light heavyweight,http://boxrec.com/boxer/8618,1980-05-11,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBC World light heavyweight title</a><br></td>",http://boxrec.com/show/120849,http://boxrec.com/boxer/21910,TKO,"Halifax Metro Center, Halifax, Nova Scotia",Louis Pergaud,Matthew Saad Muhammad,L 
super featherweight,http://boxrec.com/boxer/9524,1980-04-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Featherweight"" border=""0"" class=""dLink"">WBC World super featherweight title</a><br></td>",http://boxrec.com/show/10407,http://boxrec.com/boxer/2179,RTD,"Hiram Bithorn Stadium, San Juan",Alexis Arguello,Rolando Navarrete,W
super flyweight,http://boxrec.com/boxer/39797,1980-04-14,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBC World super flyweight title</a><br></td>",http://boxrec.com/show/56532,http://boxrec.com/boxer/10943,UD,"Nuevo Circo, Caracas",Rafael Orono,Ramon Balbino Soria,W
featherweight,http://boxrec.com/boxer/187,1980-04-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Featherweight"" border=""0"" class=""dLink"">WBC World featherweight title</a><br></td>",http://boxrec.com/show/1918,http://boxrec.com/boxer/2201,UD,"Civic Auditorium, Tucson, Arizona",Salvador Sanchez,Ruben Castillo,W
flyweight,http://boxrec.com/boxer/10035,1980-04-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Flyweight"" border=""0"" class=""dLink"">WBC World flyweight title</a><br></td>",http://boxrec.com/show/73776,http://boxrec.com/boxer/10055,UD,"Taegu Gymnasium, Daegu",Chan-Hee Park,Alberto Morales,W
welterweight,http://boxrec.com/boxer/2200,1980-03-31,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Welterweight"" border=""0"" class=""dLink"">WBC World welterweight title</a><br></td>",http://boxrec.com/show/1916,http://boxrec.com/boxer/269,KO,"Capitol Center, Landover, Maryland",Sugar Ray Leonard,Dave 'Boy' Green,W
heavyweight,http://boxrec.com/boxer/2199,1980-03-31,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Heavyweight"" border=""0"" class=""dLink"">WBC World heavyweight title</a><br><span style=""font-size:10px;"">A detached retina forces Jones to temporarily retire from boxing.</span></td>",http://boxrec.com/show/1915,http://boxrec.com/boxer/150,TKO,"Caesars Palace, Las Vegas, Nevada",Larry Holmes,Leroy Jones,W
